"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:12 GMT 2022","3905","","test.bats","","test.bats","","Scan level 2 archives.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:16 GMT 2022","7074","","test.bats","","test.bats","","Run patch on level1.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:13 GMT 2022","4039","","test.bats","","test.bats","","Create level 2 archives.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:41 GMT 2022","32554","","test.bats","","test.bats","","Run patch on level2.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:09 GMT 2022","789","","test.bats","","test.bats","","Create level N archives.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:10 GMT 2022","1432","","test.bats","","test.bats","","Scan level 1 archives.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:09 GMT 2022","993","","test.bats","","test.bats","","Scan level N archives.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:09 GMT 2022","8","","test.bats","","test.bats","","Check does /build/libs/loguccino* exist.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:14 GMT 2022","5027","","test.bats","","test.bats","","Run patch on levelN.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:34 GMT 2022","25943","","test.bats","","test.bats","","Build loguccino.",""
"passed","Wed Mar 09 17:06:09 GMT 2022","Wed Mar 09 17:06:10 GMT 2022","1305","","test.bats","","test.bats","","Create level 1 archives.",""
